Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,1,5,2015-01-14,65,-0.0009,-0.0009
0,A,2,5,2015-01-14,97,-0.0025,-0.0043
0,A,3,5,2015-01-14,92,-0.0013,-0.0113
0,A,4,5,2015-01-14,91,-0.0112,-0.0126
0,A,5,5,2015-01-14,125,-0.0158,-0.0155
0,A,1,1,2015-01-15,84,0.0034,0.0027
0,A,2,1,2015-01-15,53,0.0086,0.0056
0,A,3,1,2015-01-15,75,0.0098,0.0084
0,A,4,1,2015-01-15,111,0.0004,-0.0015
0,A,5,1,2015-01-15,146,0.0031,0.0015
0,A,1,2,2015-01-15,88,0.0120,0.0066
0,A,2,2,2015-01-15,108,0.0000,0.0031
0,A,3,2,2015-01-15,107,0.0034,0.0026
0,A,4,2,2015-01-15,97,0.0043,0.0045
0,A,5,2,2015-01-15,69,0.0079,0.0078
0,A,1,3,2015-01-15,119,0.0057,0.0039
0,A,2,3,2015-01-15,107,0.0045,0.0027
0,A,3,3,2015-01-15,96,0.0099,0.0076
0,A,4,3,2015-01-15,78,0.0122,0.0094
0,A,5,3,2015-01-15,70,0.0162,0.0137
0,A,1,4,2015-01-15,113,0.0065,0.0050
0,A,2,4,2015-01-15,104,0.0098,0.0074
0,A,3,4,2015-01-15,100,0.0106,0.0107
0,A,4,4,2015-01-15,92,0.0188,0.0153
0,A,5,4,2015-01-15,60,0.0284,0.0190
0,A,1,5,2015-01-15,65,0.0114,0.0105
0,A,2,5,2015-01-15,97,0.0114,0.0163
0,A,3,5,2015-01-15,92,0.0119,0.0218
0,A,4,5,2015-01-15,91,0.0192,0.0218
0,A,5,5,2015-01-15,125,0.0499,0.0472
0,A,1,1,2015-01-16,84,0.0075,0.0100
0,A,2,1,2015-01-16,53,0.0087,-0.0012
0,A,3,1,2015-01-16,75,0.0126,0.0172
0,A,4,1,2015-01-16,111,0.0223,0.0235
0,A,5,1,2015-01-16,146,0.0242,0.0212
0,A,1,2,2015-01-16,88,0.0138,0.0143
0,A,2,2,2015-01-16,108,0.0166,0.0183
0,A,3,2,2015-01-16,107,0.0169,0.0197
0,A,4,2,2015-01-16,97,0.0151,0.0136
0,A,5,2,2015-01-16,69,0.0143,0.0156
0,A,1,3,2015-01-16,119,0.0193,0.0140
0,A,2,3,2015-01-16,107,0.0124,0.0083
0,A,3,3,2015-01-16,96,0.0099,0.0100
0,A,4,3,2015-01-16,78,0.0116,0.0159
0,A,5,3,2015-01-16,70,0.0115,0.0168
0,A,1,4,2015-01-16,113,0.0133,0.0121
0,A,2,4,2015-01-16,104,0.0090,0.0109
0,A,3,4,2015-01-16,100,0.0111,0.0132
0,A,4,4,2015-01-16,92,0.0081,0.0099
0,A,5,4,2015-01-16,60,0.0260,0.0127
0,A,1,5,2015-01-16,65,0.0093,0.0056
0,A,2,5,2015-01-16,97,0.0099,0.0059
0,A,3,5,2015-01-16,92,0.0096,0.0061
0,A,4,5,2015-01-16,91,0.0086,0.0050
0,A,5,5,2015-01-16,125,0.0110,0.0133
0,A,1,1,2015-01-19,84,-0.0251,-0.0291
0,A,2,1,2015-01-19,53,-0.0327,-0.0188
0,A,3,1,2015-01-19,75,-0.0168,-0.0132
0,A,4,1,2015-01-19,111,-0.0111,-0.0114
0,A,5,1,2015-01-19,146,-0.0250,-0.0221
0,A,1,2,2015-01-19,88,-0.0213,-0.0104
0,A,2,2,2015-01-19,108,-0.0189,-0.0159
0,A,3,2,2015-01-19,107,-0.0218,-0.0178
0,A,4,2,2015-01-19,97,-0.0252,-0.0214
0,A,5,2,2015-01-19,69,-0.0441,-0.0404
0,A,1,3,2015-01-19,119,-0.0159,-0.0194
0,A,2,3,2015-01-19,107,-0.0278,-0.0280
0,A,3,3,2015-01-19,96,-0.0360,-0.0254
0,A,4,3,2015-01-19,78,-0.0428,-0.0327
0,A,5,3,2015-01-19,70,-0.0650,-0.0549
0,A,1,4,2015-01-19,113,-0.0132,-0.0224
