MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9707	2018-08-15	-.014031	-.014031	-.001989	.000390	.005562	.008082
P9709	2018-08-15	-.021031	-.022031	.005407	.004120	.003926	.002782
P9710	2018-08-15	-.021031	-.021031	.005117	.003827	.003919	.002825
P9705	2018-08-14	-.006031	-.007031	.003981	.003557	.001942	.003914
P9706	2018-08-14	-.002031	-.002031	.004689	.005184	.001304	.001518
P9707	2018-08-14	-.002031	-.002031	.003418	.002869	-.003065	-.003666
P9709	2018-08-14	-.002031	-.003031	.003913	.004146	.002235	.002974
P9710	2018-08-14	-.002031	-.003031	.003864	.004119	.002042	.002820
P9705	2018-08-13	.010969	.010969	-.003927	-.002748	-.003116	-.004125
P9706	2018-08-13	-.004031	-.003031	.004680	.005155	-.005118	-.004679
P9707	2018-08-13	-.002031	-.002031	.001328	.001431	-.002813	-.002667
P9709	2018-08-13	-.003031	-.002031	.006055	.006450	-.006443	-.006461
P9710	2018-08-13	-.003031	-.002031	.006112	.006544	-.006305	-.006378
P9705	2018-08-10	.008969	.010969	.003747	.004393	-.001644	-.000341
P9706	2018-08-10	.000969	.000969	.003691	.004096	-.006672	-.006000
P9707	2018-08-10	-.000031	.000969	.005453	.006813	-.007589	-.007289
P9709	2018-08-10	.000969	.001969	.004524	.005018	-.006731	-.006113
P9710	2018-08-10	.000969	.001969	.004483	.005040	-.006786	-.006157
P9705	2018-08-09	.031969	.032969	.000038	.001444	-.005431	-.006964
P9706	2018-08-09	.019969	.020969	-.002802	-.001769	-.009464	-.008962
P9707	2018-08-09	.014969	.014969	-.003359	-.003823	-.004832	-.005149
P9709	2018-08-09	.020969	.021969	-.000794	.000532	-.010596	-.010885
P9710	2018-08-09	.020969	.021969	-.000680	.000627	-.010428	-.010734
P9705	2018-08-08	-.022031	-.025031	-.002001	-.004226	-.003682	-.004901
P9706	2018-08-08	-.014031	-.015031	.003439	.001847	.003572	.003078
P9707	2018-08-08	-.009031	-.009031	.002275	.001565	.008727	.011154
P9709	2018-08-08	-.014031	-.015031	.001244	-.000905	.003676	.003553
P9710	2018-08-08	-.014031	-.015031	.001185	-.000987	.003929	.003798
P9705	2018-08-07	.026969	.027969	.000232	.000291	-.001841	-.001621
P9706	2018-08-07	.027969	.027969	-.002063	-.001899	.000331	.001146
P9707	2018-08-07	.019969	.018969	-.003096	-.003068	-.000716	-.000410
P9709	2018-08-07	.027969	.027969	-.001567	-.001232	-.000236	.000342
P9710	2018-08-07	.027969	.027969	-.001489	-.001137	-.000129	.000358
P9705	2018-08-06	-.023031	-.024031	.000498	.000769	.003411	.001368
P9706	2018-08-06	-.012031	-.014031	-.005448	-.006602	.012057	.009762
P9707	2018-08-06	-.012031	-.012031	.002443	.003770	.005858	.003926
P9709	2018-08-06	-.013031	-.015031	-.005234	-.005672	.011887	.009614
P9710	2018-08-06	-.013031	-.015031	-.005063	-.005452	.011878	.009591
P9705	2018-08-03	-.019031	-.021031	-.000241	-.001532	.001795	.002875
P9706	2018-08-03	-.010031	-.011031	.005206	.004321	.011870	.010511
P9707	2018-08-03	-.007031	-.006031	.008586	.008299	.003318	.002855
P9709	2018-08-03	-.011031	-.012031	.002903	.001472	.012073	.011389
P9710	2018-08-03	-.011031	-.012031	.002775	.001361	.011881	.011251
P9705	2018-08-02	-.024031	-.022031	-.010083	-.010717	-.004173	-.002331
P9706	2018-08-02	-.021031	-.022031	-.006391	-.007254	.003596	.002003
P9707	2018-08-02	-.019031	-.019031	.004319	.004152	.003972	.003863
P9709	2018-08-02	-.021031	-.022031	-.007141	-.007672	.002881	.001725
P9710	2018-08-02	-.021031	-.022031	-.007060	-.007644	.002918	.001742
P9705	2018-08-01	-.015031	-.015031	-.003442	-.004092	-.001737	-.001814
P9706	2018-08-01	-.019031	-.019031	.004357	.002973	-.002790	-.003232
P9707	2018-08-01	-.012031	-.011031	.008592	.007254	.002000	.002053
P9709	2018-08-01	-.019031	-.019031	.003040	.001700	-.002601	-.002971
P9710	2018-08-01	-.019031	-.018031	.003154	.001793	-.002543	-.002892
P9705	2018-07-31	-.000031	-.003031	.002399	.001629	.003662	.003289
P9706	2018-07-31	.002969	.001969	.001108	.000984	.004328	.004738
P9707	2018-07-31	.002969	.002969	-.006982	-.007335	.004253	.003683
P9709	2018-07-31	.001969	.001969	.000906	.000460	.004518	.005092
P9710	2018-07-31	.001969	.001969	.000528	.000143	.004753	.005265
P9705	2018-07-30	-.023031	-.022031	-.000094	.000143	.001090	.002405
P9706	2018-07-30	-.002031	-.003031	-.013167	-.012653	.011904	.011521
P9707	2018-07-30	-.006031	-.006031	-.004176	-.006252	-.000828	.002129
P9709	2018-07-30	-.004031	-.005031	-.014524	-.013821	.012081	.012254
P9710	2018-07-30	-.004031	-.005031	-.014374	-.013740	.011964	.012150
P9705	2018-07-27	-.009031	-.010031	-.005131	-.004505	-.001993	-.002447
P9706	2018-07-27	-.003031	-.004031	-.000759	-.001489	-.001090	-.000716
P9707	2018-07-27	.000969	.000969	.005661	.006808	-.007472	-.005235
P9709	2018-07-27	-.003031	-.004031	-.003279	-.003921	-.000341	.000078
P9710	2018-07-27	-.003031	-.004031	-.003281	-.003856	-.000494	-.000018
P9705	2018-07-26	-.012031	-.016031	.007607	.004507	-.001003	-.001665
P9706	2018-07-26	-.007031	-.008031	.015970	.012114	-.002312	-.003162
P9707	2018-07-26	-.002031	-.002031	.002871	.002245	.002117	-.000404
P9709	2018-07-26	-.008031	-.008031	.013582	.009397	-.001114	-.000959
P9710	2018-07-26	-.007031	-.008031	.013339	.009221	-.001235	-.001045
P9705	2018-07-25	.000969	-.005031	-.002883	-.003868	-.000964	-.000799
P9706	2018-07-25	-.000031	-.000031	.004083	.003239	-.004685	-.004425
P9707	2018-07-25	-.002031	-.002031	.009576	.008238	-.009135	-.007379
P9709	2018-07-25	-.000031	-.001031	.003674	.002523	-.003899	-.003596
P9710	2018-07-25	-.000031	-.001031	.003979	.002716	-.003966	-.003686
P9705	2018-07-24	.008969	.009969	.006047	.005737	-.000642	.000130
P9706	2018-07-24	.015969	.015969	.002939	.001777	-.000013	-.000915
P9707	2018-07-24	.015969	.014969	-.000960	-.002634	-.007344	-.006627
P9709	2018-07-24	.014969	.015969	.002273	.001378	.000354	-.000024
P9710	2018-07-24	.014969	.015969	.002174	.001266	.000369	-.000008
P9705	2018-07-23	.003969	.001969	-.002270	-.001981	.005097	.003567
P9706	2018-07-23	.010969	.010969	-.003429	-.004276	.010530	.009101
P9707	2018-07-23	.001969	.001969	.006612	.004840	-.011790	-.008315
P9709	2018-07-23	.010969	.009969	-.003752	-.004545	.009767	.008317
P9710	2018-07-23	.010969	.009969	-.003686	-.004450	.009602	.008172
P9705	2018-07-20	.012969	.014969	-.003840	-.004971	.007749	.007219
P9706	2018-07-20	.021969	.020969	-.009521	-.008087	.013295	.012999
P9707	2018-07-20	.001969	.001969	.008834	.007303	-.010792	-.007227
P9709	2018-07-20	.020969	.019969	-.009307	-.008013	.013558	.012973
P9710	2018-07-20	.020969	.019969	-.008912	-.007683	.013187	.012640
P9705	2018-07-19	-.012031	-.013031	-.002691	-.001102	-.001202	-.001243
P9706	2018-07-19	-.005031	-.005031	-.010633	-.010852	.002248	.001593
P9707	2018-07-19	-.008031	-.008031	-.001218	-.000839	.003628	.003970
