ts_code,trade_date,total_mv,float_mv,pe,pb
000300.SH,20151214,30266168510416.0,22177838283314.0,14.08,1.75
000300.SH,20151215,30052466462678.0,22031170495700.0,13.98,1.74
000300.SH,20151216,30039212959305.0,22003914235107.0,13.97,1.74
000300.SH,20151217,30518217207914.0,22353581010142.0,14.2,1.77
000300.SH,20151218,30585791238621.0,22388415744500.0,14.23,1.77
000300.SH,20151221,31215339247036.0,22871372681585.0,14.52,1.8
000300.SH,20151222,31234789705633.0,22893207783874.0,14.53,1.81
000300.SH,20151223,31185251001386.0,22851330148212.0,14.51,1.8
000300.SH,20151224,30936006661471.0,22665195244235.0,14.39,1.79
000300.SH,20151225,30977704953827.0,22706634940848.0,14.41,1.79
000300.SH,20151228,30177118963468.0,22106049578150.0,14.04,1.74
000300.SH,20151229,30415125651971.0,22300346518515.0,14.15,1.76
000300.SH,20151230,30485112475000.0,22325105587577.0,14.19,1.76
000300.SH,20151231,30241571223042.0,22153003217052.0,14.07,1.74
000300.SH,20160104,28357801247492.0,20761299463337.0,13.2,1.63
000300.SH,20160105,28416021672600.0,20815540425684.0,13.23,1.63
000300.SH,20160106,28958420023454.0,21214655204386.0,13.48,1.66
000300.SH,20160107,27143270878452.0,19916893109861.0,12.63,1.56
000300.SH,20160108,27735552809782.0,20337871518442.0,12.91,1.59
000300.SH,20160111,26449675173124.0,19404921216527.0,12.31,1.52
000300.SH,20160112,26616220140191.0,19529010370941.0,12.39,1.53
000300.SH,20160113,26122205398019.0,19165892349222.0,12.16,1.5
000300.SH,20160114,26558269875191.0,19482127955572.0,12.36,1.52
000300.SH,20160115,25688412808448.0,18848113728563.0,11.96,1.47
000300.SH,20160118,25722323155346.0,18884589291352.0,11.97,1.47
000300.SH,20160119,26464738760420.0,19428536647596.0,12.32,1.52
000300.SH,20160120,26134157724137.0,19178884488302.0,12.16,1.5
000300.SH,20160121,25424417281867.0,18661708284481.0,11.83,1.45
000300.SH,20160122,25687410542570.0,18877236690828.0,11.96,1.47
000300.SH,20160125,25812562615338.0,18971677417756.0,12.01,1.47
000300.SH,20160126,24286259398289.0,17878062579363.0,11.3,1.39
000300.SH,20160127,24228352781639.0,17856775296632.0,11.28,1.38
000300.SH,20160128,23666914521631.0,17443235598908.0,11.01,1.35
000300.SH,20160129,24346173505960.0,17940265518288.0,11.33,1.39
000300.SH,20160201,23917017293741.0,17625710518998.0,11.13,1.36
000300.SH,20160202,24352646832311.0,17946022060633.0,11.33,1.39
000300.SH,20160203,24196970299767.0,17830534262505.0,11.26,1.38
000300.SH,20160204,24474367590979.0,18053880076362.0,11.39,1.4
000300.SH,20160205,24326144657565.0,17951248912859.0,11.32,1.39
000300.SH,20160215,24141453667832.0,17831013096807.0,11.23,1.38
000300.SH,20160216,24854371015309.0,18351216517478.0,11.56,1.42
000300.SH,20160217,25072445454457.0,18526305475075.0,11.66,1.43
000300.SH,20160218,24991854816621.0,18464973148408.0,11.62,1.42
000300.SH,20160219,24935960880842.0,18424618776928.0,11.6,1.42
000300.SH,20160222,25521527604179.0,18846984994358.0,11.87,1.45
000300.SH,20160223,25278401688491.0,18673828898510.0,11.76,1.44
000300.SH,20160224,25439162630347.0,18808990765003.0,11.83,1.45
000300.SH,20160225,23983219448325.0,17746979266225.0,11.15,1.37
000300.SH,20160226,24258805504037.0,17956490504138.0,11.28,1.38
000300.SH,20160229,23796840773222.0,17624827917411.0,11.04,1.35
000300.SH,20160301,24185371794850.0,17902637597661.0,11.18,1.38
000300.SH,20160302,25123498024101.0,18597739823058.0,11.61,1.43
000300.SH,20160303,25192092497544.0,18660570514361.0,11.64,1.43
000300.SH,20160304,25624856740714.0,18981735164939.0,11.85,1.46
000300.SH,20160307,25670632465078.0,19016279473396.0,11.84,1.46
000300.SH,20160308,25686413055982.0,19032275113728.0,11.86,1.46
000300.SH,20160309,25458072502442.0,18866681208662.0,11.75,1.45
000300.SH,20160310,24975455917739.0,18499360909621.0,11.51,1.42
000300.SH,20160311,25059197111424.0,18552339720638.0,11.54,1.43
000300.SH,20160314,25384870084797.0,18782775168091.0,11.65,1.45
000300.SH,20160315,25456350604025.0,18839327289693.0,11.68,1.45
000300.SH,20160316,25618989023295.0,18968001016795.0,11.67,1.46
000300.SH,20160317,25817859269244.0,19104073226044.0,11.75,1.47
000300.SH,20160318,26116055801992.0,19330282492318.0,11.79,1.48
000300.SH,20160321,26623115470001.0,19694267603038.0,11.95,1.51
000300.SH,20160322,26435328295820.0,19550494967387.0,11.87,1.5
000300.SH,20160323,26502432159837.0,19642854524144.0,11.91,1.5
000300.SH,20160324,26069494038119.0,19325831686706.0,12.06,1.48
000300.SH,20160325,26190146522186.0,19425189690560.0,12.22,1.48
000300.SH,20160328,26001693870081.0,19293971555016.0,12.07,1.47
000300.SH,20160329,25743640643176.0,19097618290571.0,11.91,1.46
000300.SH,20160330,26386694681496.0,19573541133075.0,12.22,1.49
000300.SH,20160331,26379180277086.0,19583467240367.0,12.16,1.47
000300.SH,20160401,26439246845575.0,19629376675445.0,12.19,1.47
000300.SH,20160405,26725541486685.0,19843824922836.0,12.31,1.49
000300.SH,20160406,26653888377529.0,19800179918886.0,12.28,1.49
000300.SH,20160407,26282904652699.0,19524228561803.0,12.08,1.46
000300.SH,20160408,26090147069833.0,19382557160207.0,12.0,1.45
000300.SH,20160411,26442526915573.0,19643482512464.0,12.16,1.47
000300.SH,20160412,26364788559000.0,19591116067057.0,12.14,1.47
000300.SH,20160413,26737133815136.0,19866915147787.0,12.3,1.49
000300.SH,20160414,26821761567756.0,19923822362198.0,12.35,1.49
000300.SH,20160415,26832173507835.0,19885977272514.0,12.34,1.49
000300.SH,20160418,26486282725386.0,19627968523320.0,12.14,1.47
000300.SH,20160419,26545382486701.0,19674103352766.0,12.12,1.47
