Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pmonret_tmv,Pmonret_mc
0,A,5,2,2015-09-30,67,-0.0861,-0.0561
0,A,3,2,2015-09-30,67,-0.0184,-0.0236
0,A,2,2,2015-09-30,93,-0.0364,-0.0320
0,A,1,2,2015-09-30,94,-0.0526,-0.0509
0,A,5,1,2015-09-30,91,-0.0152,-0.0277
0,A,4,1,2015-09-30,79,0.0025,-0.0022
0,A,3,1,2015-09-30,67,-0.0324,-0.0354
0,A,2,1,2015-09-30,55,-0.0321,-0.0142
0,A,1,1,2015-09-30,90,-0.0050,-0.0199
0,A,5,5,2015-10-30,118,0.0895,0.0896
0,A,3,5,2015-10-30,83,0.1597,0.1843
0,A,2,5,2015-10-30,83,0.1950,0.2069
0,A,1,5,2015-10-30,61,0.2174,0.1957
0,A,4,4,2015-10-30,80,0.1906,0.2114
0,A,3,4,2015-10-30,102,0.2282,0.2412
0,A,2,4,2015-10-30,89,0.2434,0.2569
0,A,5,3,2015-10-30,74,0.1479,0.1646
0,A,4,3,2015-10-30,82,0.2025,0.1935
0,A,3,3,2015-10-30,101,0.2465,0.2110
0,A,2,3,2015-10-30,84,0.2420,0.2294
0,A,1,3,2015-10-30,75,0.2942,0.2578
0,A,5,2,2015-10-30,68,0.1371,0.1156
0,A,4,2,2015-10-30,91,0.2228,0.2281
0,A,2,2,2015-10-30,93,0.2603,0.2969
0,A,1,2,2015-10-30,96,0.2657,0.2840
0,A,5,1,2015-10-30,96,0.1799,0.1796
0,A,4,1,2015-10-30,79,0.1960,0.2254
0,A,3,1,2015-10-30,70,0.2761,0.2757
0,A,2,1,2015-10-30,57,0.2441,0.2800
0,A,1,1,2015-10-30,90,0.2886,0.2871
0,A,3,2,2015-10-30,70,0.2300,0.2102
0,A,1,4,2015-10-30,84,0.2584,0.2272
0,A,5,4,2015-10-30,64,0.1390,0.1449
0,A,4,5,2015-10-30,82,0.1660,0.1489
0,A,2,2,2015-11-30,95,0.1500,0.1656
0,A,1,3,2015-11-30,80,0.1561,0.2148
0,A,4,4,2015-11-30,81,0.0423,0.0861
0,A,3,5,2015-11-30,85,0.0951,0.0722
0,A,5,3,2015-11-30,76,0.0272,-0.0008
0,A,5,5,2015-11-30,119,-0.0200,-0.0229
0,A,4,5,2015-11-30,85,0.0547,0.0721
0,A,2,5,2015-11-30,84,0.0743,0.1055
0,A,1,5,2015-11-30,61,0.1681,0.1556
0,A,5,4,2015-11-30,65,-0.0188,-0.0144
0,A,3,4,2015-11-30,103,0.0695,0.0431
0,A,2,4,2015-11-30,92,0.1430,0.1326
0,A,1,4,2015-11-30,88,0.1663,0.1831
0,A,4,3,2015-11-30,86,0.0808,0.0684
0,A,3,3,2015-11-30,102,0.0822,0.0762
0,A,2,3,2015-11-30,90,0.1505,0.1366
0,A,5,2,2015-11-30,71,-0.0007,0.0217
0,A,4,2,2015-11-30,97,0.0742,0.0430
0,A,3,2,2015-11-30,71,0.0943,0.1075
0,A,1,2,2015-11-30,95,0.2010,0.1595
0,A,5,1,2015-11-30,101,0.0142,0.0328
0,A,4,1,2015-11-30,85,0.0807,0.0991
0,A,3,1,2015-11-30,72,0.1058,0.1027
0,A,2,1,2015-11-30,64,0.1678,0.1482
0,A,1,1,2015-11-30,91,0.1956,0.1940
0,A,5,5,2015-12-31,123,0.0227,0.0165
0,A,4,5,2015-12-31,87,0.0386,0.0635
0,A,3,5,2015-12-31,85,0.0443,0.0502
0,A,1,5,2015-12-31,62,0.0882,0.1385
0,A,5,4,2015-12-31,69,0.0051,0.0225
0,A,4,4,2015-12-31,84,0.0300,0.0318
0,A,2,4,2015-12-31,94,0.0725,0.0802
0,A,1,4,2015-12-31,89,0.1304,0.0913
0,A,5,3,2015-12-31,80,0.0117,0.0253
0,A,3,3,2015-12-31,106,0.0689,0.0603
0,A,2,3,2015-12-31,90,0.0820,0.0617
0,A,1,3,2015-12-31,81,0.1036,0.1424
0,A,5,2,2015-12-31,74,0.0421,0.0305
0,A,4,2,2015-12-31,101,0.0505,0.0739
0,A,3,2,2015-12-31,71,0.0872,0.0838
0,A,2,2,2015-12-31,97,0.0985,0.0813
0,A,5,1,2015-12-31,103,0.0427,0.0393
0,A,4,1,2015-12-31,90,0.0392,0.0281
0,A,3,1,2015-12-31,73,0.0764,0.0674
0,A,2,1,2015-12-31,72,0.1091,0.1029
0,A,1,1,2015-12-31,89,0.1131,0.1218
0,A,4,3,2015-12-31,85,0.0493,0.0245
0,A,3,4,2015-12-31,107,0.0625,0.0641
0,A,2,5,2015-12-31,87,0.1016,0.0959
0,A,1,2,2015-12-31,96,0.1445,0.1161
0,A,3,3,2016-01-29,103,-0.3303,-0.3160
0,A,4,2,2016-01-29,99,-0.3200,-0.3163
0,A,2,4,2016-01-29,94,-0.2972,-0.3137
0,A,1,5,2016-01-29,61,-0.3090,-0.3030
0,A,5,5,2016-01-29,124,-0.1918,-0.2048
0,A,4,5,2016-01-29,85,-0.2797,-0.2756
0,A,3,5,2016-01-29,89,-0.2875,-0.2953
0,A,2,5,2016-01-29,85,-0.3115,-0.2960
0,A,5,4,2016-01-29,69,-0.2825,-0.2505
0,A,4,4,2016-01-29,83,-0.2973,-0.2998
0,A,3,4,2016-01-29,108,-0.2982,-0.3145
0,A,1,4,2016-01-29,90,-0.3258,-0.2914
0,A,5,3,2016-01-29,78,-0.2757,-0.2929
0,A,4,3,2016-01-29,87,-0.3211,-0.3076
0,A,2,3,2016-01-29,95,-0.3059,-0.2993
0,A,1,3,2016-01-29,83,-0.2850,-0.2974
0,A,5,2,2016-01-29,73,-0.2547,-0.2403
0,A,3,2,2016-01-29,75,-0.3180,-0.3117
0,A,2,2,2016-01-29,95,-0.3210,-0.3301
0,A,1,2,2016-01-29,93,-0.3090,-0.3106
0,A,4,1,2016-01-29,91,-0.3238,-0.3109
0,A,3,1,2016-01-29,74,-0.3184,-0.3270
0,A,2,1,2016-01-29,73,-0.3117,-0.3163
0,A,1,1,2016-01-29,94,-0.2954,-0.2863
0,A,5,1,2016-01-29,100,-0.2719,-0.2854
0,A,5,5,2016-02-29,125,-0.0157,-0.0169
0,A,3,5,2016-02-29,89,-0.0173,-0.0043
0,A,2,5,2016-02-29,84,-0.0260,-0.0111
0,A,1,5,2016-02-29,64,-0.0357,-0.0111
0,A,4,4,2016-02-29,83,-0.0017,-0.0087
0,A,3,4,2016-02-29,110,-0.0103,-0.0104
0,A,2,4,2016-02-29,95,-0.0129,-0.0231
0,A,5,3,2016-02-29,77,-0.0165,-0.0087
0,A,4,3,2016-02-29,83,-0.0147,-0.0186
0,A,3,3,2016-02-29,102,-0.0156,-0.0327
0,A,1,3,2016-02-29,84,-0.0286,-0.0034
0,A,5,2,2016-02-29,74,-0.0245,-0.0173
0,A,4,2,2016-02-29,99,-0.0318,-0.0275
0,A,3,2,2016-02-29,74,-0.0575,-0.0355
0,A,2,2,2016-02-29,95,-0.0208,-0.0199
0,A,1,2,2016-02-29,95,0.0068,-0.0339
0,A,5,1,2016-02-29,97,-0.0455,-0.0504
0,A,4,1,2016-02-29,93,-0.0268,-0.0331
0,A,3,1,2016-02-29,70,-0.0314,-0.0412
0,A,2,1,2016-02-29,71,-0.0186,-0.0376
0,A,1,1,2016-02-29,93,-0.0478,-0.0549
0,A,2,3,2016-02-29,92,-0.0246,-0.0339
0,A,1,4,2016-02-29,90,-0.0203,-0.0091
0,A,5,4,2016-02-29,69,-0.0269,-0.0237
0,A,4,5,2016-02-29,84,-0.0106,0.0001
0,A,2,2,2016-03-31,94,0.2226,0.2229
0,A,1,3,2016-03-31,85,0.2196,0.2207
0,A,5,3,2016-03-31,78,0.1708,0.1532
0,A,4,4,2016-03-31,83,0.1570,0.1737
0,A,3,5,2016-03-31,87,0.1635,0.1641
0,A,5,5,2016-03-31,126,0.0815,0.0842
0,A,4,5,2016-03-31,84,0.1439,0.1434
0,A,2,5,2016-03-31,87,0.1770,0.1627
0,A,1,5,2016-03-31,65,0.2041,0.2123
0,A,5,4,2016-03-31,67,0.1319,0.1404
0,A,3,4,2016-03-31,110,0.1666,0.1710
0,A,2,4,2016-03-31,93,0.1906,0.2100
0,A,1,4,2016-03-31,90,0.1730,0.1881
0,A,4,3,2016-03-31,82,0.1865,0.2019
0,A,3,3,2016-03-31,105,0.2196,0.2184
0,A,2,3,2016-03-31,94,0.2075,0.2100
0,A,5,2,2016-03-31,74,0.1593,0.1485
0,A,4,2,2016-03-31,102,0.1781,0.1596
0,A,3,2,2016-03-31,77,0.2092,0.1811
0,A,1,2,2016-03-31,95,0.2542,0.1890
0,A,5,1,2016-03-31,100,0.1650,0.1708
0,A,4,1,2016-03-31,90,0.1973,0.1984
0,A,3,1,2016-03-31,70,0.1849,0.1876
0,A,2,1,2016-03-31,70,0.1944,0.1777
0,A,1,1,2016-03-31,96,0.1917,0.2152
0,A,5,5,2016-04-29,127,-0.0178,-0.0248
0,A,4,5,2016-04-29,83,-0.0068,-0.0108
0,A,3,5,2016-04-29,86,-0.0225,-0.0093
0,A,1,5,2016-04-29,66,0.0031,0.0354
0,A,5,4,2016-04-29,66,-0.0477,-0.0304
0,A,4,4,2016-04-29,85,-0.0145,-0.0330
0,A,2,4,2016-04-29,93,0.0011,0.0163
0,A,1,4,2016-04-29,86,0.0168,0.0088
0,A,5,3,2016-04-29,78,-0.0515,-0.0324
0,A,3,3,2016-04-29,105,-0.0287,-0.0257
0,A,2,3,2016-04-29,92,0.0084,0.0051
0,A,1,3,2016-04-29,83,0.0191,0.0177
0,A,4,2,2016-04-29,102,-0.0177,-0.0281
0,A,3,2,2016-04-29,76,0.0022,-0.0178
0,A,2,2,2016-04-29,92,0.0133,-0.0260
0,A,1,2,2016-04-29,93,0.0239,0.0485
0,A,5,1,2016-04-29,96,-0.0355,-0.0547
0,A,4,1,2016-04-29,91,-0.0367,-0.0271
0,A,3,1,2016-04-29,68,-0.0080,-0.0296
0,A,2,1,2016-04-29,67,-0.0049,0.0113
0,A,1,1,2016-04-29,94,0.0286,0.0141
0,A,5,2,2016-04-29,74,-0.0268,-0.0315
0,A,4,3,2016-04-29,84,-0.0253,-0.0178
0,A,3,4,2016-04-29,110,-0.0143,0.0008
0,A,2,5,2016-04-29,87,0.0099,-0.0086
0,A,4,2,2016-05-31,101,0.0042,0.0052
0,A,1,5,2016-05-31,62,-0.0282,-0.0437
0,A,5,5,2016-05-31,127,-0.0114,-0.0150
0,A,2,4,2016-05-31,89,-0.0152,0.0047
0,A,4,5,2016-05-31,84,-0.0167,-0.0333
0,A,3,5,2016-05-31,86,-0.0102,-0.0340
0,A,2,5,2016-05-31,81,-0.0497,-0.0401
0,A,5,4,2016-05-31,66,-0.0190,-0.0026
0,A,4,4,2016-05-31,83,-0.0264,0.0122
0,A,3,4,2016-05-31,110,-0.0145,-0.0314
0,A,1,4,2016-05-31,87,-0.0233,-0.0317
0,A,5,3,2016-05-31,79,0.0005,-0.0083
0,A,4,3,2016-05-31,84,-0.0038,-0.0087
0,A,3,3,2016-05-31,100,-0.0071,-0.0149
0,A,2,3,2016-05-31,95,-0.0358,-0.0265
0,A,1,3,2016-05-31,82,-0.0364,-0.0491
0,A,5,2,2016-05-31,74,0.0052,-0.0079
0,A,3,2,2016-05-31,78,0.0027,0.0169
0,A,2,2,2016-05-31,94,-0.0231,-0.0007
0,A,1,2,2016-05-31,92,-0.0354,-0.0382
0,A,5,1,2016-05-31,98,0.0079,0.0082
0,A,4,1,2016-05-31,94,0.0073,-0.0150
0,A,3,1,2016-05-31,70,-0.0039,0.0121
0,A,2,1,2016-05-31,65,-0.0363,-0.0288
0,A,1,1,2016-05-31,96,-0.0678,-0.0507
0,A,5,5,2016-06-30,128,-0.0108,-0.0131
0,A,3,5,2016-06-30,85,0.0474,0.0508
0,A,2,5,2016-06-30,82,0.0530,0.0568
0,A,1,5,2016-06-30,63,0.0699,0.0512
0,A,4,4,2016-06-30,86,0.0418,0.0280
