date,exs
2017-04-12,6.8922
2017-04-13,6.8825
2017-04-14,6.8869
2017-04-17,6.8876
2017-04-18,6.8852
2017-04-19,6.8873
2017-04-20,6.8835
2017-04-21,6.8838
2017-04-24,6.8864
2017-04-25,6.8863
2017-04-26,6.8908
2017-04-27,6.8922
2017-04-28,6.8973
2017-05-02,6.8965
2017-05-03,6.8917
2017-05-04,6.8968
2017-05-05,6.9
2017-05-08,6.9033
2017-05-09,6.9057
2017-05-10,6.904
2017-05-11,6.9035
2017-05-12,6.9027
2017-05-15,6.8976
2017-05-16,6.8897
2017-05-17,6.891
2017-05-18,6.8903
2017-05-19,6.8926
2017-05-22,6.8924
2017-05-23,6.8897
2017-05-24,6.8909
2017-05-25,6.8678
2017-05-26,6.861
2017-05-31,6.821
2017-06-01,6.8061
2017-06-02,6.8162
2017-06-05,6.8014
2017-06-06,6.7968
2017-06-07,6.794
2017-06-08,6.7938
2017-06-09,6.7988
2017-06-12,6.7981
2017-06-13,6.7981
2017-06-14,6.797
2017-06-15,6.7975
2017-06-16,6.8139
2017-06-19,6.817
2017-06-20,6.8265
2017-06-21,6.829
2017-06-22,6.8307
2017-06-23,6.8387
2017-06-26,6.8378
2017-06-27,6.8101
2017-06-28,6.7992
2017-06-29,6.7787
2017-06-30,6.7796
2017-07-03,6.7897
2017-07-04,6.7999
2017-07-05,6.7993
2017-07-06,6.8037
2017-07-07,6.7995
2017-07-10,6.8019
2017-07-11,6.8
2017-07-12,6.7875
2017-07-13,6.7817
2017-07-14,6.7741
2017-07-17,6.7699
2017-07-18,6.758
2017-07-19,6.7556
2017-07-20,6.7688
2017-07-21,6.7681
2017-07-24,6.7505
2017-07-25,6.7512
2017-07-26,6.7545
2017-07-27,6.7376
2017-07-28,6.7429
2017-07-31,6.729
2017-08-01,6.7194
2017-08-02,6.7219
2017-08-03,6.7233
2017-08-04,6.7181
2017-08-07,6.7182
2017-08-08,6.7035
2017-08-09,6.6776
2017-08-10,6.661
2017-08-11,6.6668
2017-08-14,6.6687
2017-08-15,6.6771
2017-08-16,6.6955
2017-08-17,6.6731
2017-08-18,6.6785
2017-08-21,6.6702
2017-08-22,6.6605
2017-08-23,6.6636
2017-08-24,6.66
2017-08-25,6.6645
2017-08-28,6.6323
2017-08-29,6.5975
2017-08-30,6.5927
2017-08-31,6.5969
2017-09-01,6.5679
2017-09-04,6.52
2017-09-05,6.5516
2017-09-06,6.5246
2017-09-07,6.4972
2017-09-08,6.4617
2017-09-11,6.5239
2017-09-12,6.535
2017-09-13,6.5309
2017-09-14,6.5543
2017-09-15,6.5442
2017-09-18,6.5618
2017-09-19,6.5859
2017-09-20,6.5742
2017-09-21,6.5934
2017-09-22,6.5922
2017-09-25,6.6205
2017-09-26,6.6305
2017-09-27,6.635
2017-09-28,6.6699
2017-09-29,6.647
2017-10-09,6.6285
2017-10-10,6.5861
2017-10-11,6.5887
2017-10-12,6.5888
2017-10-13,6.5868
2017-10-16,6.5912
2017-10-17,6.616
2017-10-18,6.6205
2017-10-19,6.6277
2017-10-20,6.62
2017-10-23,6.6398
2017-10-24,6.6332
2017-10-25,6.6408
2017-10-26,6.6357
2017-10-27,6.6528
2017-10-30,6.6476
2017-10-31,6.6272
2017-11-01,6.6161
2017-11-02,6.6063
2017-11-03,6.6295
2017-11-06,6.6339
2017-11-07,6.6324
2017-11-08,6.6343
2017-11-09,6.6391
2017-11-10,6.64
2017-11-13,6.6422
2017-11-14,6.6431
2017-11-15,6.6298
2017-11-16,6.6327
2017-11-17,6.6353
2017-11-20,6.63
2017-11-21,6.6337
2017-11-22,6.6159
2017-11-23,6.5823
2017-11-24,6.6037
2017-11-27,6.5979
2017-11-28,6.5949
2017-11-29,6.5988
2017-11-30,6.6107
2017-12-01,6.6065
2017-12-04,6.6187
2017-12-05,6.6131
2017-12-06,6.615
2017-12-07,6.6155
2017-12-08,6.6175
2017-12-11,6.6173
2017-12-12,6.6212
2017-12-13,6.6203
2017-12-14,6.6088
2017-12-15,6.6084
2017-12-18,6.617
2017-12-19,6.6075
2017-12-20,6.5798
2017-12-21,6.5858
2017-12-22,6.5687
2017-12-25,6.5404
2017-12-26,6.544
2017-12-27,6.5555
2017-12-28,6.5348
2017-12-29,6.512
2018-01-02,6.4967
2018-01-03,6.5017
2018-01-04,6.4968
2018-01-05,6.4851
2018-01-08,6.4956
2018-01-09,6.5207
2018-01-10,6.5179
2018-01-11,6.5088
2018-01-12,6.468
2018-01-15,6.4417
2018-01-16,6.4366
2018-01-17,6.4325
2018-01-18,6.4255
2018-01-19,6.404
2018-01-22,6.4036
2018-01-23,6.4042
2018-01-24,6.3875
2018-01-25,6.335
2018-01-26,6.3227
2018-01-29,6.3266
2018-01-30,6.3415
2018-01-31,6.292
2018-02-01,6.296
2018-02-02,6.2798
2018-02-05,6.2927
2018-02-06,6.2783
2018-02-07,6.2596
2018-02-08,6.326
2018-02-09,6.3004
2018-02-12,6.329
2018-02-13,6.344
2018-02-14,6.3441
2018-02-22,6.3605
2018-02-23,6.338
2018-02-26,6.307
2018-02-27,6.3064
2018-02-28,6.3335
2018-03-01,6.343
2018-03-02,6.3472
2018-03-05,6.3406
2018-03-06,6.3401
2018-03-07,6.3229
2018-03-08,6.3321
2018-03-09,6.337
2018-03-12,6.3236
2018-03-13,6.3294
2018-03-14,6.3162
2018-03-15,6.3221
2018-03-16,6.3247
2018-03-19,6.3322
2018-03-20,6.3301
2018-03-21,6.3315
2018-03-22,6.3212
2018-03-23,6.324
2018-03-26,6.2849
2018-03-27,6.2728
2018-03-28,6.2884
2018-03-29,6.2904
2018-03-30,6.2733
2018-04-02,6.2803
2018-04-03,6.2844
2018-04-04,6.2999
2018-04-09,6.3107
2018-04-10,6.2962
2018-04-11,6.286
2018-04-12,6.2814
2018-04-13,6.2825
2018-04-16,6.2811
2018-04-17,6.2764
2018-04-18,6.2854
2018-04-19,6.2778
2018-04-20,6.2898
2018-04-23,6.3044
2018-04-24,6.3092
2018-04-25,6.3204
2018-04-26,6.33
2018-04-27,6.3439
2018-05-02,6.3602
2018-05-03,6.3532
2018-05-04,6.3589
2018-05-07,6.3649
2018-05-08,6.3676
2018-05-09,6.3784
2018-05-10,6.3613
2018-05-11,6.3351
2018-05-14,6.3368
2018-05-15,6.3535
2018-05-16,6.3685
2018-05-17,6.3671
2018-05-18,6.376
2018-05-21,6.3888
2018-05-22,6.3709
2018-05-23,6.3852
2018-05-24,6.3846
2018-05-25,6.3891
2018-05-28,6.3938
2018-05-29,6.4188
2018-05-30,6.4248
2018-05-31,6.401
2018-06-01,6.4169
2018-06-04,6.4123
2018-06-05,6.4015
2018-06-06,6.3956
2018-06-07,6.3933
2018-06-08,6.4097
2018-06-11,6.4016
2018-06-12,6.4041
2018-06-13,6.4051
2018-06-14,6.3923
2018-06-15,6.4168
2018-06-19,6.4743
2018-06-20,6.4715
2018-06-21,6.4917
2018-06-22,6.4964
2018-06-25,6.524
2018-06-26,6.556
2018-06-27,6.595
2018-06-28,6.625
2018-06-29,6.6246
2018-07-02,6.649
2018-07-03,6.6672
2018-07-04,6.6211
2018-07-05,6.6372
2018-07-06,6.648
2018-07-09,6.6175
2018-07-10,6.623
2018-07-11,6.6674
2018-07-12,6.6679
2018-07-13,6.6905
2018-07-16,6.6838
2018-07-17,6.679
2018-07-18,6.7145
2018-07-19,6.7734
2018-07-20,6.7795
2018-07-23,6.7834
2018-07-24,6.81
2018-07-25,6.7784
2018-07-26,6.7825
2018-07-27,6.8246
2018-07-30,6.8256
2018-07-31,6.8255
2018-08-01,6.7948
2018-08-02,6.83
2018-08-03,6.862
2018-08-06,6.842
2018-08-07,6.834
2018-08-08,6.8316
2018-08-09,6.8283
2018-08-10,6.8574
2018-08-13,6.8767
2018-08-14,6.883
2018-08-15,6.9049
2018-08-16,6.896
2018-08-17,6.8815
2018-08-20,6.8525
2018-08-21,6.838
2018-08-22,6.846
2018-08-23,6.869
2018-08-24,6.8789
2018-08-27,6.8171
2018-08-28,6.807
2018-08-29,6.8218
2018-08-30,6.836
2018-08-31,6.8299
2018-09-03,6.8165
2018-09-04,6.829
2018-09-05,6.8381
2018-09-06,6.8307
2018-09-07,6.8379
2018-09-10,6.8655
2018-09-11,6.8637
2018-09-12,6.868
2018-09-13,6.8487
2018-09-14,6.8521
2018-09-17,6.869
2018-09-18,6.8644
2018-09-19,6.8534
2018-09-20,6.8528
2018-09-21,6.839
2018-09-25,6.877
2018-09-26,6.874
2018-09-27,6.877
2018-09-28,6.8814
