date,cpi,iv,m1,gdp,m2,HS300_close,HS300_open,HS300_volume
2017-06-05,104.31892869461568,115.7833955443738,498540.6241040434,191698.5022475318,1613972.57859314,3468.75,3480.17,79738152.0
2017-06-06,104.31132120961922,115.81385964814893,499013.66579411033,191733.3042475131,1614947.9741563932,3492.88,3464.38,64089388.0
2017-06-07,104.30355146138535,115.8449972584956,499500.9984405966,191768.03876431935,1615966.3812678547,3533.87,3493.88,104419968.0
2017-06-08,104.29561944991406,115.87680837541386,500002.62204350234,191802.7057979506,1617027.7999275252,3560.98,3531.24,90224905.0
2017-06-09,104.2875251752053,115.90929299890368,500518.5366028274,191837.30534840675,1618132.2301354038,3576.17,3561.24,101188265.0
2017-06-12,104.26226877165453,116.01078790880257,502152.0260193192,191940.69910072524,1621703.5900482913,3574.39,3570.22,90381167.0
2017-06-13,104.25352544399608,116.04596655857866,502725.1044043218,191975.0287184813,1622980.0664490038,3582.27,3569.16,75177138.0
2017-06-14,104.24461985310019,116.08181871492633,503312.473745744,192009.29085306238,1624299.5543979248,3535.3,3571.25,83810783.0
2017-06-15,104.23555199896688,116.11834437784556,503914.1340435855,192043.48550446844,1625662.0538950544,3528.79,3530.75,82632535.0
2017-06-16,104.22661415052156,116.1547916409035,504510.4151499285,192078.13690694585,1627015.2809975613,3518.76,3522.97,76452707.0
2017-06-19,104.20233425286601,116.2591515923123,506148.96243245865,192187.97702628505,1630705.6242803584,3553.67,3520.06,79797141.0
2017-06-20,104.19508550287429,116.29227763019355,506645.0461811357,192226.55237003372,1631812.6260330498,3546.49,3560.79,80509559.0
2017-06-21,104.18825902749599,116.32457336178064,507116.08059039625,192266.10869910018,1632858.071448287,3587.96,3567.13,87859824.0
2017-06-22,104.18185482673107,116.35603878707356,507562.06566024036,192306.6460134845,1633841.960526071,3590.34,3583.56,135526987.0
2017-06-23,104.17587290057956,116.3866739060723,507983.001390668,192348.1643131866,1634764.2932664007,3622.88,3583.44,105129134.0
2017-06-26,104.16046076980548,116.47359742530354,509095.512545452,192478.60512419976,1637161.9534626664,3668.09,3627.02,134637995.0
2017-06-27,104.1561679421076,116.50091131912559,509416.2509182136,192524.0473651731,1637838.0608531805,3674.72,3665.58,97558702.0
2017-06-28,104.15229738902313,116.52739490665351,509711.93995155895,192570.47059146428,1638452.611906241,3646.17,3664.16,97920858.0
2017-06-29,104.14884911055205,116.55304818788723,509982.57964548765,192617.87480307327,1639005.6066218475,3668.83,3649.25,85589498.0
2017-06-30,104.14582310669438,116.57787116282678,510228.1699999999,192666.26,1639497.045,3666.8,3654.73,81510028.0
2017-07-03,104.13927874280178,116.64735824988044,510814.6450270378,192817.30150268722,1640602.0221097344,3650.85,3667.23,88820860.0
2017-07-04,104.13794183739769,116.6688599996433,510960.0380238842,192869.6106408852,1640847.2351380712,3619.98,3646.83,95071413.0
2017-07-05,104.13702720660707,116.68953144311203,511080.3816813141,192922.900764401,1641030.8918289547,3659.68,3611.9,88232425.0
2017-07-06,104.1365348504298,116.70937258028655,511175.67599932745,192977.17187323468,1641152.992182384,3660.1,3654.56,102379245.0
2017-07-07,104.13646476886595,116.72838341116693,511245.92097792437,193032.42396738613,1641213.5361983594,3655.93,3647.64,103735497.0
2017-07-10,104.13878817185483,116.78043406604301,511306.3598772162,193204.06616174732,1641025.8302215626,3653.69,3647.94,120591910.0
2017-07-11,104.14040718874459,116.7961236717467,511276.4074981472,193263.24219717004,1640840.1488877225,3670.81,3646.88,118760826.0
2017-07-12,104.14244848024777,116.81098297115622,511221.40577966167,193323.39921791048,1640592.9112164285,3658.82,3672.63,122287792.0
2017-07-13,104.14491204636433,116.82501196427157,511141.3547217597,193384.5372239688,1640284.1172076804,3686.92,3656.35,125669549.0
2017-07-14,104.14779788709433,116.83821065109275,511036.2543244413,193446.65621534493,1639913.766861479,3703.09,3682.62,105514005.0
2017-07-17,104.15888139162648,116.87395140941554,510618.1162346407,193637.5351488294,1638547.085106048,3663.56,3700.62,178821600.0
2017-07-18,104.16326492576444,116.8858316010588,510497.1902817075,193701.15327694206,1638132.6557351819,3667.18,3648.49,124622056.0
2017-07-19,104.16797503199298,116.89788285140725,510393.40089038335,193764.5399881052,1637757.7431894378,3729.75,3660.87,182477787.0
2017-07-20,104.17301171031211,116.91010516046087,510306.7480606681,193827.69528231886,1637422.3474688153,3747.88,3725.14,142410039.0
2017-07-21,104.17837496072181,116.92249852821973,510237.231792562,193890.61915958294,1637126.4685733141,3728.6,3738.18,117941226.0
2017-07-24,104.19642414449444,116.96070498372751,510131.5023578982,194078.00228967812,1636475.932837542,3743.47,3724.38,134868722.0
2017-07-25,104.20309368326647,116.97378258630717,510130.5323362284,194140.00049914408,1636338.1212425278,3719.56,3742.64,121672059.0
